"URI","Label","Definition","Notation","Status","AcceptedDate"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FC_OTH_CP_E_WH","Final consumption - other sectors - commercial and public services - energy use - water heating","","FC_OTH_CP_E_WH","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FC_OTH_CP_E_CL","Final consumption - other sectors - commercial and public services - energy use - cooling","","FC_OTH_CP_E_CL","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FC_OTH_CP_E_SC","Final consumption - other sectors - commercial and public services - energy use - space cooling","","FC_OTH_CP_E_SC","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FC_OTH_CP_E_PC","Final consumption - other sectors - commercial and public services - energy use - process cooling","","FC_OTH_CP_E_PC","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FC_OTH_CP_E_LOUT","Final consumption - other sectors - commercial and public services - energy use - outdoor lighting","","FC_OTH_CP_E_LOUT","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FC_OTH_CP_E_LINDRE","Final consumption - other sectors - commercial and public services - energy use - indoor lighting and electrical appliances (including information and communication technologies)","","FC_OTH_CP_E_LINDRE","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FC_OTH_CP_E_OE_BLD","Final consumption - other sectors - commercial and public services - energy use - other end use - related to buildings","","FC_OTH_CP_E_OE_BLD","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FC_OTH_CP_E_OE_NBLD","Final consumption - other sectors - commercial and public services - energy use - other end use - not related to buildings","","FC_OTH_CP_E_OE_NBLD","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FC_OTH_A","Final consumption - other sectors - agriculture","","FC_OTH_A","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FC_OTH_A_E","Final consumption - other sectors - agriculture - energy use","","FC_OTH_A_E","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FC_OTH_A_NE","Final consumption - other sectors - agriculture - non-energy use","","FC_OTH_A_NE","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FC_OTH_F","Final consumption - other sectors - forestry","","FC_OTH_F","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FC_OTH_F_E","Final consumption - other sectors - forestry - energy use","","FC_OTH_F_E","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FC_OTH_F_NE","Final consumption - other sectors - forestry - non-energy use","","FC_OTH_F_NE","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/GEP_CHPM","Gross electricity production in CHP mode","","GEP_CHPM","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/GEP_CHPM_SHR","Share of gross electricity production in CHP mode","","GEP_CHPM_SHR","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/REN_HEAT_CL_WHC","Renewable energy sources in heating and cooling - waste heat and cold","","REN_HEAT_CL_WHC","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/REN_WHC_DHEAT_DCL","Renewable energy sources and waste heat and cold - district heating and cooling","","REN_WHC_DHEAT_DCL","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/GFC_DHEAT_DCL_E","Gross final consumption - district heating and cooling - energy use","","GFC_DHEAT_DCL_E","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/BIOF_BIOG_PA_SHR","Share of advanced biofuels and biogas from Annex IX Part A in final energy consumption in transport","","BIOF_BIOG_PA_SHR","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/BIOF_BIOG_PB_SHR","Share of advanced biofuels and biogas from Annex IX Part B in final energy consumption in transport","","BIOF_BIOG_PB_SHR","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/HILUC_OT_SHR","Share of high indirect land use change-risk bioliquids, biofuels and biomass fuels for overall target","","HILUC_OT_SHR","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/HILUC_TT_SHR","Share of high indirect land use change-risk bioliquids, biofuels and biomass fuels for transport target","","HILUC_TT_SHR","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/BIOG_G_ELC","Biogas - grid - electricity","","BIOG_G_ELC","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/BIOG_G_HEAT_CL","Biogas - grid - heating and cooling","","BIOG_G_HEAT_CL","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/CAP_NET","Installed net capacity","","CAP_NET","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/MGEC","Maximum gross electricity capacity","","MGEC","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/MGEC_CHPM","Maximum gross electricity capacity in CHP mode","","MGEC_CHPM","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/MNTC","Maximum net thermal capacity","","MNTC","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/NTP","Net thermal production","","NTP","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FUEL","Fuel used","","FUEL","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FUEL_CHPM","Fuel used in CHP mode","","FUEL_CHPM","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/PES","Primary energy savings","","PES","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/CL_ES","Cooling energy supplied","","CL_ES","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/CL_ES_NET","Net cooling energy supplied","","CL_ES_NET","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/CL_ES_RHD","Cooling energy supplied - renewable heat driven (absorption and adsorption)","","CL_ES_RHD","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/LOSS","Losses","","LOSS","valid","2023-06-19"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/DL_NT","Distribution losses - non-technical","","DL_NT","valid","2023-06-19"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/TRANSL","Transmission losses","","TRANSL","valid","2023-06-19"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/AC","Autoconsumption","","AC","valid","2023-06-19"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/IPRD_SB","Indigenous production - solid biofuels","","IPRD_SB","valid","2023-07-12"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/IPRD_LB","Indigenous production - liquid biofuels","","IPRD_LB","valid","2023-07-12"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/IPRD_GB","Indigenous production - gaseous biofuels","","IPRD_GB","valid","2023-07-12"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/TI_BOP","Transformation input - for blending with oil products","","TI_BOP","valid","2023-07-12"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/TI_BREN","Transformation input - for blending with renewables","","TI_BREN","valid","2023-07-12"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/TI_HYDP","Transformation input - hydrogen production","","TI_HYDP","valid","2023-07-12"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/TI_AMMP","Transformation input - ammonia production","","TI_AMMP","valid","2023-07-12"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/TI_EFP","Transformation input - e-fuels production","","TI_EFP","valid","2023-07-12"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/TI_STG","Transformation input - solid-to-gas plants","","TI_STG","valid","2023-07-12"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/TI_STL","Transformation input - solid-to-liquid plants","","TI_STL","valid","2023-07-12"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/TI_LTG","Transformation input - liquid-to-gas plants","","TI_LTG","valid","2023-07-12"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/TI_LTL","Transformation input - liquid-to-liquid plants","","TI_LTL","valid","2023-07-12"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/NRG_PLG","Energy sector - production, liquefaction, gasification","","NRG_PLG","valid","2023-07-12"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/TL_PR","Transformation losses - petroluem refineries","","TL_PR","valid","2023-07-12"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/TRANSL_DL","Transmission and distribution losses","","TRANSL_DL","valid","2023-07-12"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FC_NIDF_CFDL","Final consumption - not identified and/or confidential","","FC_NIDF_CFDL","valid","2023-07-12"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FC_NIDF_CFDL_E","Final consumption - not identified and/or confidential - energy use","","FC_NIDF_CFDL_E","valid","2023-07-12"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FC_NIDF_CFDL_NE","Final consumption - not identified and/or confidential - non-energy use","","FC_NIDF_CFDL_NE","valid","2023-07-12"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/TOTAL","Total","","TOTAL","valid","2023-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/TI_EHG_CB","Transformation input - electricity and heat generation - charging batteries","","TI_EHG_CB","valid","2023-11-27"
