DATAFLOW,LAST UPDATE,freq,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,LT,2022,2.648,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,LU,2021,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,LU,2022,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,LV,2021,2.150,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,LV,2022,1.613,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,MD,2021,1.329,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,MD,2022,1.994,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,ME,2021,0.956,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,ME,2022,1.013,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,MK,2021,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,MK,2022,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,MT,2021,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,MT,2022,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,NL,2021,6.449,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,NL,2022,6.449,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,NO,2021,28.046,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,NO,2022,35.750,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,PL,2021,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,PL,2022,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,PT,2021,25.070,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,PT,2022,28.323,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,RO,2021,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,RO,2022,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,RS,2021,0.439,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,RS,2022,0.748,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,SE,2021,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,SE,2022,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,SI,2021,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,SI,2022,0.000,
